	ref_title	ref_context	ref_entry	abstract	intro
63	Real-time cache management framework for multi-core architectures	[]	R. Mancuso, R. Dudko, E. Betti, M. Cesati, M. Caccamo, and R. Pellizzoni. 2013. Real-time cache management framework for multi-core architectures. Proc. of the 19th IEEE RTAS. 45–54.	Multi-core architectures are shaking the fundamental assumption that in real-time systems the WCET, used to analyze the schedulability of the complete system, is calculated on individual tasks. This is not even true in an approximate sense in a modern multi-core chip, due to interference caused by hardware resource sharing. In this work we propose (1) a complete framework to analyze and profile task memory access patterns and (2) a novel kernel-level cache management technique to enforce an efficient and deterministic cache allocation of the most frequently accessed memory areas. In this way, we provide a powerful tool to address one of the main sources of interference in a system where the last level of cache is shared among two or more CPUs. The technique has been implemented on commercial hardware and our evaluations show that it can be used to significantly improve the predictability of a given set of critical tasks.	In this section we will briefly discuss existing profiling and cache management techniques and we will explain how our cache allocation strategy differs from existing related work.
64	WCET(m) estimation in multi-core systems using single core equivalence	[]	Renato Mancuso, Rodolfo Pellizzoni, Marco Caccamo, Lui Sha, and Heechul Yun. 2015. WCET(m) estimation in multi-core systems using single core equivalence. Proc. of the 27th ECRTS.		
65	A comparison of memory allocators for real-time applications	[]	Miguel Masmano, Ismael Ripoll, and Alfons Crespo. 2006. A comparison of memory allocators for real-time applications. Proc. of the 4th JTRES. ACM, 68–76.	Real-Time applications can require dynamic storage management. However this feature has been sistematically avoided due to the general belief about the poor performance of allocation and deallocation operations in time and space. Actually, the use of Java technologies in real-time require to analyse in detail the performance of this feature due to its intensive use. In a previous paper, the authors proposed a new dynamic storage allocator that perform malloc and free operations in constant time (O(1)) with a very high efficiency. In this paper, we compare the behaviour of several allocators under ”real-time” loads measuring the temporal cost and the fragmentation incurred by each allocator. In order to compare the temporal cost of the allocators, two parameters have been considered: number of instructions and processor cycles. To measure the fragmentation, we have calculated the relation between the maximum memory used by the each allocator relative to the point of the maximum amount of memory used by the load. Additionally, we have measured the impact of delayed deallocation in a similar way a periodic garbage collector server will do. The results of this paper show that TLSF allocator obtains the best resuts when both aspects, temporal and spatial are considered.	"This section presents a brief descrition of the allocators used in the evaluation. Allocators can be classified attending to the policy used (first fit, best fit, good fit, etc.) and the mechanism implemented (doubly linked lists, segregated lists, bitmaps, etc.) based on the work of Wilson et al.<NO>
In order to perform the evaluation presented in this paper, we have selected some of the allocatores more representatives taking into account considerations like:
Representatives of very well known policies. First-fit and Best-fit are two of the most representative sequential fit allocators. First-fit allocator is used in all comparisons. It does not provide good results in terms of time and fragmentation but it is a reference. Best-fit provides very good results on fragmentation but bad results in time. Both of them are usually implemented with a doubly linked list. The pointers which implement the list are emb]dded inside the header of each free block. First-fit allocator searches the free list and selects the first block whose size is equal or greater than the requested size, whereas Best-fit goes further to select the block which best fits the request.
Widely used in several environments. Doug Lea’s allocator <NO> is the most representative of hybrid allocator and it is used in Linux systems and several environments. It is a combination of several mechanisms. This allocator uses a single array of lists, where the first 48 indexes are lists of blocks of an exact size (16 to 64 bytes) called “fast bins” . The remaining part
of the array contains lists of segregated lists, called “bins”. Each of these segregated lists are sorted by block size. A mapping function is used to quickly locate a suitable list. DLmalloc uses the delayed coalescing strategy, that is, the deallocation operation does not coalesce blocks. Instead a massive coalescing is done when the allocator can not serve a request.
Labelled as ”real-time” allocators. Binary-Buddy and Half-fit are good-fit allocators that provide excellent results in time reponse. However, the fragmentation produced by these allocators is known to be non negligible.
Buddy systems <NO> are a particular case of Segregated free lists. Being H the heap size, there are only log2(H) lists since the heap can only be split in powers of two. This restriction yields efficient splitting and merging operations, but it also causes a high memory fragmentation. There exist several variants of this method <NO> such as Binary-buddy, Fibonacci-buddy, Weighted buddy and Double-buddy.
The Binary-buddy <NO> allocator is the most representative of the Buddy Systems allocators, which besides has always been considered as a real-time allocator. The initial heap size has to be a power of two. If a smaller block is needed, then any available block can only be split into two blocks of the same size, which are called buddies. When both buddies are again free, they are coalesced back into a single block. Only buddies are allowed to be coalesced. When a small block is requested and no free block of the requested size is available, a bigger free block is split one or more times until one of a suitable size is obtained.
Half-fit <NO> uses bitmaps to find free blocks rapidly without having to perform an exhaustive search. Halffit groups free blocks in the range [2i, 2i+1[ in a list indexed by i. Bitmaps to keep track of empty lists jointly with bitmap processor instructions are used to speed-up search operations. When a block of size r is required, the search for a suitable free block starts on i, where i = ⌊log2(r−1)⌋+1 (or 0 if r = 1). Note that the list i always holds blocks whose sizes are equal to or larger than the requested size. If this list is empty, then the next non-empty free list is used instead. If the size of the selected free block is larger than the requested one, the block is split in two blocks of sizes r and r′. The remainder block of size r′ is re-inserted in the list indexed by i′ = ⌊log2(r ′)⌋.
New real-time allocator. TLSF (Two-Level Segregated Fit) <NO> is a bounded-time, good-fit allocator. TLSF implements a combination of segregated and bitmap fits mechanisms. The use of bitmaps allow to implement fast, bounded-time mapping and searching functions. TLSF data structure can be represented as a two-dimension array. The first dimension splits free blocks in size-ranges a power of two apart from each other, so that first-level index i refers to free blocks of sizes in the range [2i,2i+1[. The second dimension splits each first-level range linearly in a number of ranges of an equal width. The number of such ranges, 2L, should not exceed the number of bits of the underlying architecture, so that a one-word bitmap
can represent the availability of free blocks in all the ranges. TLSF uses word-size bitmaps and processor bit instructions to find a suitable list in constant time. The range of sizes of the segregated lists has been chosen so that a mapping function can be used to locate the position of the segregated list given the block size, with no sequential or binary search. Also, ranges have been spread along the whole range of possible sizes in such a way that the relative width (the length of the range) of the range is similar for small blocks than for large blocks. In other words, there are more lists used for smaller blocks than for larger blocks.
One important aspect is the theoretical temporal cost (complexity) of each allocator. Table 1 summarises these costs for each allocator.
In <NO>, the worst-case or bad-case2 scenario of each allocator has been analysed and detailed. For each allocator, a sinthetic load was generated to conduct it to its worst-case allocating and deallocating scenarios. Once these scenarios were reached, we measured the number of instructions performed by the allocation or deallocation operations. Table 2 shows a summary of these results.
These results can slightly change depending on the compiler version and the optimisation options used."
66	TLSF: A new dynamic memory allocator for real-time systems	['TLSF <NO> is another allocator performing these operations in constant time.', 'TLSF (Two-Level Segregated Fit) <NO> is a bounded-time, good-fit allocator.', 'In <NO>, the worst-case or bad-case(2) scenario of each allocator has been analysed and detailed.', 'Internal fragmentation is reduced by using a multi-layered segregated-list approach similar to TLSF’s approach <NO>.', 'While allocators meeting the demand for constant or at least reasonable tightly boundable execution times exist <NO>, <NO>, <NO>, cache awareness as implied by demands (2) and (3)', 'TLSF <NO>, a dynamic memory allocator for real-time systems, alleviates the fragmentation problem of segregated list allocators.', 'for their constant time allocator TLSF <NO>.']	M. Masmano, I. Ripoll, A. Crespo, and J. Real. 2004. TLSF: A new dynamic memory allocator for real-time systems. Proc. of the 16th ECRTS. 79–88.		
67	Using multicore architectures in cyber-physical systems	[]	S. Mohan, M. Caccamo, L. Sha, R. Pellizzoni, G. Arundale, R. Kegley, and D. de Niz. 2011. Using multicore architectures in cyber-physical systems. Proc. of the Workshop on Developing Dependable and Secure Automotive Cyber-Physical Systems from Components.		
68	Compiler support for software-based cache partitioning	['While LLC offers high potential for average performance improvement, it challenges worst-case execution time (WCET) estimation, which has made LLC to be studied in the last years by the real-time community <NO>.', 'Software cache partitioning <NO> and hardware cache partitioning <NO> have been used so far to control inter-task interaction in the LLC.', 'Software cache partitioning is done through memory coloring <NO>.', 'Several cache partitioning techniques have been devised <NO>; however compared to previous works, the main contribution of this paper is to exploit cache partitioning to improve real-time schedulability while taking into account tasks’ criticality.', 'The implementation aspects of cache partitioning techniques are the focus of most of the previous works <NO>.', 'In contrast, Mueller <NO> investigated using compilers to assign application code into physical memory.', 'Similar techniques can be applied in software <NO> or in hardware <NO> with different granularities.', 'In the past, both hardware and software based cache partitioning have been proposed by many researchers <NO>.', 'Mueller <NO> discussed the compiler and linker support needed for automating software based cache partitioning.', 'Earlier work has prevented inter-task interference entirely by static partitioning: reserving local RAM space for each task <NO>, <NO>.', 'Lastly, it is unlike a partitioning approach, which would avoid both interference and swapin/swap-out costs but prevent any task using more than a small, statically reserved area of local RAM space <NO>, <NO>.']	Frank Mueller. 1995. Compiler support for software-based cache partitioning. Proc. of the ACM SIGPLAN LCTES. ACM, 125–133.		
69	Intra-application cache partitioning	[]	S.P. Muralidhara, M. Kandemir, and P. Raghavan. 2010. Intra-application cache partitioning. Proc. of the 25th IEEE IPDPS. 1–12.		
70	An algorithm with constant execution time for dynamic storage allocation	['Ogasawara <NO> proposed the Half-fit allocator, which was the', 'Half-fit <NO> uses bitmaps to find free blocks rapidly without having to perform an exhaustive search.']	T. Ogasawara. 1995. An algorithm with constant execution time for dynamic storage allocation. Proc. of the 2Nd RTCSA. IEEE, 21.		
71	Providing task isolation via TLB coloring	[]	S. Panchamukhi, and F. Mueller. 2015. Providing task isolation via TLB coloring. Proc. of the 21th RTAS.		
72	Hardware support for WCET analysis of hard real-time multicore systems	['<NO> have proposed TDMA-based bus and L2 cache access to improve predictability on multi-core architectures.', 'Such hybrid execution of application tasks has been considered in recent research <NO>.', 'While LLC offers high potential for average performance improvement, it challenges worst-case execution time (WCET) estimation, which has made LLC to be studied in the last years by the real-time community <NO>.', 'Software cache partitioning <NO> and hardware cache partitioning <NO> have been used so far to control inter-task interaction in the LLC.', 'Hardware cache partitioning assigns different cache ways or cache banks to the different co-running tasks such in a way that contention is prevented <NO>.', 'hardware cache (way) partitioning <NO>.', 'However, we believe the scheduling algorithm and analysis techniques in this paper is a necessary step towards completely avoiding interference between tasks running on multicores, and can be integrated with techniques of performance isolation on other shared resources, for instance, the work in <NO> to avoid interference caused by the shared on-chip bus.', '<NO> formulated cache allocation as a MILP problem to minimize the total CPU utilization of Paolieri’s new multi-core architecture <NO>.', 'be bounded and known, by using for instance Time Division Multiple Access (TDMA) like in <NO> or other predictable bus arbitration policies <NO>.', 'DL1 and IL1 caches are connected to the UL2 through fully-dedicated bidirectional buses, whose access latency can be bounded using the technique presented in <NO>.']	Marco Paolieri, Eduardo Quiñones, Francisco J Cazorla, Guillem Bernat, and Mateo Valero. 2009. Hardware support for WCET analysis of hard real-time multicore systems. ACM SIGARCH Computer Architecture News, Vol. 37. ACM, 57–68.	The increasing demand for new functionalities in current and future hard real-time embedded systems like automotive, avionics and space industries is driving an increase in the performance required in embedded processors. Multicore processors represent a good design solution for such systems due to their high performance, low cost and power consumption characteristics. However, hard real-time embedded systems require time analyzability and current multicore processors are less analyzable than single-core processors due to the interferences between different tasks when accessing shared hardware resources. In this paper we propose a multicore architecture with shared resources that allows the execution of applications with hard real-time and non hard real-time constraints at the same time, providing time analizability for the hard real-time tasks so that they can meet their deadlines. Moreover our architecture proposal provides high-performance for the non hard real-time tasks.	"One of the design goals of our architecture is that it can be easily analyzed by current measurement based WCET tools with no modifications. In this section we provide some background on real-time scheduling and the analysis tool we use in this paper.
In real-time systems, for each task, the scheduler knows three main parameters: The period, the deadline and the Worst-Case Execution Time (WCET). If the task is periodic, its period is the interval at which new instances of that task are ready for execution. The deadline is the time before a task instance must be complete. For simplicity, the deadline is often set equal to the period. This means that a task has to be executed before its next instance arrives into the system. The WCET is a safe estimation of the upper bound time required to execute any instance of the task. In single-core systems the WCET of a task is computed assuming that the task has full access to processor resources.
One of the current approaches to analyze WCET in singlecore processors is measurement-based WCET analysis<NO>. In this paper we use RapiTime<NO>, a commercial tool developed by Rapita Systems Ltd.3, that estimates the WCET using a measurement-based technique. This tool is widely used in the avionics, telecommunications, space, and automotive industries. RapiTime uses on-line testing to measure the execution time of sub-paths between instrumentation points in the code. Moreover, by contrast, offline static analysis is the best way to determine the overall structure of the code and the paths through it. RapiTime therefore uses path
3 www.rapitasystems.com
analysis techniques to build up a precise model of the overall code structure and determine which combinations of subpaths form complete and feasible paths through the code. Finally RapiTime combines the measurement and control flow analysis information to compute measurement based worst-case execution time estimations in a way that captures accurately the execution time variation on individual paths due to hardware effects<NO>."
73	Predictable and Monitored Execution for COTS-based Real-Time Embedded Systems	[]	R. Pellizzoni. 2010. Predictable and Monitored Execution for COTS-based Real-Time Embedded Systems. Ph.D. Dissertation. University of Illinois at Urbana-Champaign.		
74	Real-time performance of dynamic memory allocation algorithms	['In 2002, Puaut <NO> presented a performance analysis of a set of general purpose allocators regarding with respect to real-time requirements.', 'Note however that when dealing with real-time systems, this assumption is generally satisfied, since dynamic memory allocations are a source of unpredictability and are strongly discouraged for certification purposes <NO>.']	I. Puaut. 2002. Real-time performance of dynamic memory allocation algorithms. Proc. of the 14th ECRTS. 41–49.		
75	Low-complexity algorithms for static cache locking in multitasking hard real-time systems	['The private L1 cache attached to a core is utilized only by the tasks executing on that core; for each, we adopt the cache content selection algorithm for multitasking systems <NO>.', 'For static locking, we apply the cache content selection algorithm presented in <NO>, which minimizes the system utilization.', 'Static cache locking algorithms to minimize system utilization are presented in <NO>, while a dynamic cache locking algorithm is proposed in <NO>.', 'Studies on uni-processor cache locking have assumed the entire L1 cache to be locked <NO>.', 'Static and dynamic cache locking algorithms for instruction caches have been proposed to improve system utilization in <NO>.', 'Conversely, techniques which exploit “lockdown by line” mechanisms have been extensively studied <NO>.', 'Puaut and Decotigny <NO> explore static cache locking in multitasking real-time systems.', 'However, both <NO> and <NO> do not model the change in worst-case path after locking.', 'Instruction cache locking has been primarily employed in hard real time systems for better timing predictability <NO>.', 'The papers <NO> present different algorithms for static I-cache lockdown.', 'In <NO>, the authors present two heuristics for cache contents selection.', 'In <NO>, the techniques of <NO> for I-cache locking are extended to deal with changing WC-paths.', 'Per cache size, the WCETs of our techniques (“Multisort WC-path”) are compared with the results of an I-cache locking mechanism similar to <NO> and computing the WC-path only once during initialization (“Multisort Single-Path”).', 'Static and dynamic cache locking algorithms for instruction caches have been proposed to improve system utilization in <NO>.', 'Studies on intra-task cache conflicts, and work on identification of locked cache lines is orthogonal to ours and studied elsewhere <NO>.', 'The HEPTANE tool takes as input the memory map of the code (cacheable versus uncacheable code regions, address range of scratchpad memory, if any) as well as the contents of locked cache regions if a cache-locking mechanism is used <NO>.']	I. Puaut, and D. Decotigny. 2002. Low-complexity algorithms for static cache locking in multitasking hard real-time systems. Proc. of the 23rd IEEE RTSS. 114–123.		
76	Scratchpad memories vs locked caches in hard real-time systems: A quantitative comparison	['Studies on uni-processor cache locking have assumed the entire L1 cache to be locked <NO>.', 'Further techniques have been developed for cache locking that provide performance comparable to that obtained with scratchpad allocation <NO>.', 'It is assumed that all other instructions have predictable latency, which could be arranged in a practical embedded system through the use of a simple CPU design <NO> with a scratchpad to store instructions <NO>.', 'This can be done at the programmer’s direction (“overlay programming” <NO>), but this is time-consuming and error-prone <NO>, so previous work has described algorithms to automatically allocate a subset of a program’s data to scratchpad.', 'Past work presented techniques for cache locking that provides comparable performance to scratchpad allocation <NO>.']	I. Puaut, and C. Pais. 2007. Scratchpad memories vs locked caches in hard real-time systems: A quantitative comparison. Proc. of DATE. 1–6.		
77	Utility-based cache partitioning: A low-overhead, highperformance, runtime mechanism to partition shared caches	[]	Moinuddin K. Qureshi, and Yale N. Patt. 2006. Utility-based cache partitioning: A low-overhead, highperformance, runtime mechanism to partition shared caches. Proc. of MICRO 39. IEEE, 423–432.		
78	Architectural support for operating system-driven CMP cache management	['that its blocks are not evicted by demand based replacement policies like LRU (the code for the hog program is available in the technical report <NO>).', 'Rafique (23) proposes an OS scheme that consists of a hardware cache quota management mechanism, an OS interface and a set of OS level quota orchestration policies for greater flexibility in policies.', 'The majority of work required modifications to hardware and falls into one of two camps: performance aware cache modification (most commonly cache-partitioning) <NO> or performance-aware DRAM controller memory scheduling [Loh 2008; Suh et al.', 'The effect of simultaneously executing threads competing for space in the LLC has been explored extensively by many different researchers <NO>.']	Nauman Rafique, Won-Taek Lim, and Mithuna Thottethodi. 2006. Architectural support for operating system-driven CMP cache management. Proc. of the 15th PACT. ACM, 2–12.	The role of the operating system (OS) in managing shared resources such as CPU time, memory, peripherals, and even energy is well motivated and understood [23]. Unfortunately, one key resource—lower-level shared cache in chip multi-processors—is commonly managed purely in hardware by rudimentary replacement policies such as least-recentlyused (LRU). The rigid nature of the hardware cache management policy poses a serious problem since there is no single best cache management policy across all sharing scenarios. For example, the cache management policy for a scenario where applications from a single organization are running under “best effort” performance expectation is likely to be different from the policy for a scenario where applications from competing business entities (say, at a third party data center) are running under a minimum service level expectation. When it comes to managing shared caches, there is an inherent tension between flexibility and performance. On one hand, managing the shared cache in the OS offers immense policy flexibility since it may be implemented in software. Unfortunately, it is prohibitively expensive in terms of performance for the OS to be involved in managing temporally fine-grain events such as cache allocation. On the other hand, sophisticated hardware-only cache management techniques to achieve fair sharing or throughput maximization have been proposed. But they offer no policy flexibility. This paper addresses this problem by designing architectural support for OS to efficiently manage shared caches with a wide variety of policies. Our scheme consists of a hardware cache quota management mechanism, an OS interface and a set of OS level quota orchestration policies. The hardware mechanism guarantees that OS-specified quotas are enforced in shared caches, thus eliminating the need for (and the performance penalty of) temporally fine-grained OS intervention. The OS retains policy flexibility since it can tune the quotas during regularly scheduled OS interventions. We demonstrate that our scheme can support a wide range of policies including policies that provide (a) passive performance differentiation, (b) reactive fairness by miss-rate equalization and (c) reactive performance differentiation.	Our cache management scheme consists of three essential components: a hardware quota enforcement mechanism, an interface between hardware and OS, and a set of OS level policies. We first describe two hardware quota enforcement mechanisms in Section 2.1, their advantages and limitations. Section 2.2 describes the OS interface of our scheme and finally Section 2.3 explains how the OS can use this interface to implement different policies.
79	Reconfigurable caches and their application to media processing	['The other kinds of work <NO> on this topic dynamically adjust the cache for performance benefits.']	Parthasarathy Ranganathan, Sarita Adve, and Norman P. Jouppi. 2000. Reconfigurable caches and their application to media processing. Proc. of the 27th ISCA. ACM, 214–224.	High performance general-purpose processors are increasingly being used for a variety of application domains { scienti c, engineering, databases, and more recently, media processing. It is therefore important to ensure that architectural features that use a signi cant fraction of the on-chip transistors are applicable across these di erent domains. For example, current processor designs often devote the largest fraction of on-chip transistors (up to 80%) to caches. Many workloads, however, do not make e ective use of large caches; e.g., media processing workloads which often have streaming data access patterns and large working sets. This paper proposes a new recon gurable cache design. This design enables the cache SRAM arrays to be dynamically divided into multiple partitions that can be used for di erent processor activities. These activities can bene t applications that would otherwise not use the storage allocated to large conventional caches. Our design involves relatively few modi cations to conventional cache design, and analysis using a modi cation of the CACTI analytical model shows a small impact on cache access time. We evaluate one representative use of recon gurable caches { instruction reuse for media processing. We nd this use gives IPC improvements ranging from 1.04X to 1.20X in simulation across eight media processing benchmarks. 	"Some of the possible applications for recon gurable caches are discussed below. We speci cally discuss how these applications are relevant to the domain of media processing; however, codes from other domains can bene t from these as well.
Hardware optimizations using lookup tables or bu ers. Several hardware optimizations have been proposed that re-
quire maintaining lookup tables or bu ers, where the effectiveness of the optimization improves signi cantly with larger table sizes. For example, value prediction, memoization, and instruction reuse have recently been studied to exploit redundancy in computation in the SPEC benchmarks <NO>. Other optimizations that require large lookup tables or bu ers include coherence prediction, memory disambiguation prediction, compression-based branch prediction, hardware prefetching (where lookup tables are used to store information for address prediction), and dynamic optimizations triggered by performance information collected and stored in tables at runtime. Several of these techniques have been reported to have the capacity to perform better with larger lookup table spaces <NO>. The lookup tables and bu ers for these optimizations could be implemented in a partition of a recon gurable cache instead of using other valuable chip area. Section 5 studies one such technique, instruction reuse, with recon gurable caches to address the computation bottleneck in media processing workloads.
Software and hardware prefetched data. Software and hardware prefetching are widely used techniques to hide memory latency. However, if the prefetched data is fetched too far in advance, it can pollute the cache replacing other useful data or be replaced before use by a demand access, eliminating any performance bene ts. On the other hand, prefetches that occur too late do not fully hide the latency. Therefore, prefetching techniques need to strike a careful balance when scheduling the prefetches, but are often unsuccessful in doing so. With recon gurable caches, a separate partition can be used to prefetch data early while avoiding the problem of cache pollution or replacement of prefetched data. Such an application of recon gurable caches could be particularly useful with media processing benchmarks which often have streaming behavior <NO>.
Compiler or application controlled memory. A partition of a recon gurable cache could be con gured as compiler or application controlled memory. As discussed in <NO>, the compiler could use such memory as a scratch area for spill code to achieve performance bene ts. Alternatively, this area can be used by system code or device drivers as a separately addressable bu er area. Such a use may also be bene cial in ensuring real-time requirements of media applications with general-purpose processors. Many DSP processors hardwire their on-chip SRAM to be used as memory (as opposed to caches) to ensure predictability of memory latencies <NO>. Cache line locking (as in the Cyrix MediaGX processor <NO>) or controlled cache line replacement (as with malleable caches <NO>) can provide the same functionality."
80	Timing predictability of cache replacement policies	['some degree of pessimism for those accesses for which it is hard to determine whether they will hit or miss <NO>.', 'Analyzing FIFO is harder than analyzing LRU since its behavior is more sensitive to its state <NO>.']	Jan Reineke, Daniel Grund, Christoph Berg, and Reinhard Wilhelm. 2007. Timing predictability of cache replacement policies. Real-Time Systems 37, 2 (Nov. 2007), 99–122.		
81	Dynamic page mapping policies for cache conflict resolution on standard hardware	['Page coloring <NO> operates at the level of the operating system or virtual machine monitor by influencing the choice of physical pages to assign to virtual addresses.']	Theodore Romer, Dennis Lee, Brian N. Bershad, and J. Bradley Chen. 1994. Dynamic page mapping policies for cache conflict resolution on standard hardware. Proc. of the 1st OSDI. 255–266.		
82	Predictable task migration for locked caches in multi-core systems	[]	Abhik Sarkar, Frank Mueller, and Harini Ramaprasad. 2011. Predictable task migration for locked caches in multi-core systems. Proc. of the LCTES’11. ACM, 131–140.	Locking cache lines in hard real-time systems is a common means of achieving predictability of cache access behavior and tightening as well as reducing worst case execution time, especially in a multitasking environment. However, cache locking poses a challenge for multi-core hard real-time systems since theoretically optimal scheduling techniques on multi-core architectures assume zero cost for task migration. Tasks with locked cache lines need to proactively migrate these lines before the next invocation of the task. Otherwise, cache locking on multi-core architectures becomes useless as predictability is compromised. This paper proposes hardware-based push-assisted cache migration as a means to retain locks on cache lines across migrations. We extend the push-assisted migration model with several cache migration techniques to efficiently retain locked cache lines on a bus-based chip multi-processor architecture. We also provide deterministic migration delay bounds that help the scheduler decide which migration technique(s) to utilize to relocate a single or multiple tasks. This information also allows the scheduler to determine feasibility of task migrations, which is critical for the safety of any hard real-time system. Such proactive migration of locked cache lines in multi-cores is unprecedented to our knowledge.	"In the past decade, there has been considerable research on cache line locks in the context of multi-tasking real-time systems. Static and dynamic cache locking algorithms for instruction caches have been proposed to improve system utilization in <NO>. Data cache locking techniques that pin data when cache behavior is hard to analyze statically have been proposed <NO>. Past work presented techniques for cache locking that provides comparable performance to scratchpad allocation <NO>. Recently, cache locking has also been proposed for multi-core systems that use shared L2 caches <NO>. Of course, cache locking can also be used in conjunction with private L2 caches. Multi-cores certainly make cache locking even more attractive in terms of real-time predictability.
Choffnes et al. propose migration policies for multi-core fairshare scheduling <NO>. Their technique strives to minimize migration costs while ensuring fairness among the tasks by maintaining balanced scheduling queues as new tasks are activated. The work is in the context of soft real-time systems while ours focuses on hard real-time. Calandrino et al. propose scheduling techniques that account for co-schedulability of tasks with respect to cache behavior <NO>. Their approach is based on organizing tasks with the same period into groups of cooperating tasks. While their method improves cache performance in soft real-time systems, they do not specifically address issues related to task migration. Li et al. discuss migration policies that facilitate efficient operating system scheduling in asymmetric multi-core architectures <NO>. Their work focuses on fault-and-migrate techniques to handle resource-related faults in heterogeneous cores and does not consider real-time constraints. Eisler et al. <NO> develop a cache capacity increasing scheme for multi-cores that scavenges unused neighboring cache lines. They consider “migration” of cache lines amounting to distribution of data in caches while we focus on task migration combined with data migration mechanisms that keep data local to the target core and retains the locks in caches across migration.
Acquaviva et al. <NO> assess the cost of task migration for soft real-time systems. They assume private memory and different operating system instances per core on a low-end processor. In contrast, we assume private caches with a single operating system instance, which more accurately reflects contemporary embedded multi-cores <NO>. Their focus is on task replication and re-creation across different memory spaces while our work focuses on task migration within part shared, part private memory spaces. Hardy et al. have recently proposed static cache analysis techniques to quantify cache-related migration delay cost on multi-cores by estimating re-use of cache lines that cause cache misses <NO>. Our methodology focuses upon eliminating migration delay to support cache line locking in multi-cores and providing support for deterministic migration delay for locked cache lines."
83	Static task partitioning for locked caches in multi-core real-time systems	[]	Abhik Sarkar, Frank Mueller, and Harini Ramaprasad. 2012. Static task partitioning for locked caches in multi-core real-time systems. Proc. of the CASES’12. ACM, 161–170.	Locking cache lines in hard real-time systems is a common means to ensure timing predictability of data references and to lower bounds on worst-case execution time, especially in a multi-tasking environment. Growing processing demand on multi-tasking real-time systems can be met by employing scalable multi-core architectures, like the recently introduced tile-based architectures. This paper studies the use of cache locking on massive multi-core architectures with private caches in the context of hard real-time systems. In shared cache architectures, a single resource is shared among all the tasks. However, in scalable cache architectures with private caches, conflicts exist only among the tasks scheduled on one core. This calls for a cache-aware allocation of tasks onto cores. Our work extends the cache-unaware First Fit Decreasing (FFD) algorithm with a Naive locked First Fit Decreasing (NFFD) policy. We further propose two cache-aware static scheduling schemes: (1) Greedy First Fit Decreasing (GFFD) and (2) Colored First Fit Decreasing (CoFFD). This work contributes an adaptation of these algorithms for conflict resolution of partially locked regions. Experiments indicate that NFFD is capable of scheduling high utilization task sets that FFD cannot schedule. Experiments also show that CoFFD consistently outperforms GFFD resulting in lower number of cores and lower system utilization. CoFFD reduces the number of core requirements from 30% to 60% compared to NFFD. With partial locking, the number of cores in some cases is reduced by almost 50% with an increase in system utilization of 10%. Overall, this work is unique in considering the challenges of future multicore architectures for real-time systems and provides key insights into task partitioning with locked caches for architectures with private caches.	"In the past decade, there has been considerable research promoting locked caches in the context of multi-tasking realtime systems. Static and dynamic cache locking algorithms for instruction caches have been proposed to improve system utilization in <NO>. Several methods have been developed to lock program data that is hard to analyze statically <NO>. Further techniques have been developed for cache locking that provide performance comparable to that obtained with scratchpad allocation <NO>. Recently, cache locking has also been proposed for multi-core systems that use shared L2 caches <NO>. This trend is a strong proponent of cache locking as a viable solution in future real-time system designs on multi-cores.
Choffnes et al. have proposed migration policies for multicore fair-share scheduling <NO>. Their technique strives to minimize migration costs while ensuring fairness among the tasks by maintaining balanced scheduling queues as new tasks are activated. Calandrino et al. propose scheduling techniques that account for co-schedulability of tasks with respect to cache behavior <NO>. Their approach is based on organizing tasks with the same period into groups of cooperating tasks. All these methods improve cache performance in soft real-time systems. Li et al. discuss migration policies that facilitate efficient operating system scheduling in asymmetric multicore architectures <NO>. Their work focuses on fault-and-migrate techniques to handle resource-related faults in heterogeneous cores and does not operate in the context of real-time systems. Eisler et al. <NO> develop a cache capacity increasing scheme for multicores that scavenges unused neighboring cache lines.
Paolieri et al. <NO> have proposed TDMA-based bus and L2 cache access to improve predictability on multi-core architectures. Their work focuses on supporting hard real-time applications on multi-cores but assumes shared L2 caches with contention due to accesses by different tasks. Ouyang et al. <NO> have proposed extending Quality of Service support to mesh-based interconnects but their study is limited to the on-chip network traffic."
84	Reducing cache misses using hardware and software page placement	[]	Timothy Sherwood, Brad Calder, and Joel Emer. 1999. Reducing cache misses using hardware and software page placement. Proc. of the 13th ICS. ACM, 155–164.		
85	Time-analysable non-partitioned shared caches for real-time multicore systems	[]	Mladen Slijepcevic, Leonidas Kosmidis, Jaume Abella, Eduardo Quiñones, and Francisco J. Cazorla. 2014. Time-analysable non-partitioned shared caches for real-time multicore systems. Proc. of the 51st ACM/IEEE DAC. IEEE, 1–6.	Shared caches in multicores challenge Worst-Case Execution Time (WCET) estimation due to inter-task interferences. Hardware and software cache partitioning address this issue although they complicate data sharing among tasks and the Operating System (OS) task scheduling and migration. In the context of Probabilistic Timing Analysis (PTA) time-randomised caches are used. We propose a new hardware mechanism to control inter-task interferences in shared time-randomised caches without the need of any hardware or software partitioning. Our proposed mechanism effectively bounds inter-task interferences by limiting the cache eviction frequency of each task, while providing tighter WCET estimates than cache partitioning algorithms. In a 4-core multicore processor setup our proposal improves cache partitioning by 56% in terms of guaranteed performance and 16% in terms of average performance.	
